"2010.0","05","01","29.674752892388895"
"2010.0","06","01","47.00904788071428"
"2010.0","07","01","35.97010309068965"
"2010.0","08","01","30.910622283225806"
"2010.0","09","01","26.52070235896551"
"2010.0","10","01","20.206073533709677"
"2010.0","11","01","16.907458573"
"2010.0","12","01","22.959124734599996"
"2011.0","01","01","41.88748670070967"
"2011.0","02","01","56.02197574714285"
"2011.0","03","01","52.376221086896535"
"2011.0","04","01","56.443079892086665"
"2011.0","05","01","41.10891941193549"
"2011.0","06","01","30.73816328843333"
"2011.0","07","01","42.692437803870966"
"2011.0","08","01","33.40821494688461"
"2011.0","09","01","30.342344415517246"
"2011.0","10","01","28.5594407288"
"2011.0","11","01","31.488218221758622"
"2011.0","12","01","50.3407153693871"
"2012.0","01","01","54.140465887380955"
"2012.0","02","01","43.3277686176923"
"2012.0","03","01","41.160298926129016"
"2012.0","04","01","31.266570285925926"
"2012.0","05","01","38.78326984823529"
"2012.0","06","01","29.14557960250001"
"2012.0","07","01","30.266602573076927"
"2012.0","08","01","21.32067942531579"
"2012.0","09","01","25.81611976142857"
"2012.0","10","01","27.543267376000006"
"2012.0","11","01","25.335371450799997"
"2012.0","12","01","22.061382154159997"
"2013.0","01","01","26.188238205599998"
"2013.0","02","01","44.70605690892855"
"2013.0","03","01","60.40737967733334"
"2013.0","04","01","44.92736660620689"
"2013.0","05","01","32.471710802105264"
"2013.0","06","01","NaN"
"2013.0","07","01","50.54105891842106"
"2013.0","08","01","38.213248795839995"
"2013.0","09","01","41.91577262428571"
"2013.0","10","01","NaN"
"2013.0","11","01","41.45988621656"
"2013.0","12","01","35.29189220036207"
"2014.0","01","01","20.720756089411765"
"2014.0","02","01","14.58867279984"
"2014.0","03","01","13.818151892826085"
"2014.0","04","01","17.240082331105263"
"2014.0","05","01","18.70132865825"
"2014.0","06","01","11.921141459160001"
"2014.0","07","01","10.089826883416666"
"2014.0","08","01","12.164426875344828"
"2014.0","09","01","14.364170413827589"
"2014.0","10","01","18.56621681032143"
"2014.0","11","01","28.593615707666665"
"2014.0","12","01","32.7295980729"
"2015.0","01","01","33.34342058217857"
"2015.0","02","01","28.04552604140741"
"2015.0","03","01","30.56395743137932"
"2015.0","04","01","21.81455805337931"
"2015.0","05","01","14.959664937178573"
"2015.0","06","01","12.581399173884616"
"2015.0","07","01","11.256451277920002"
"2015.0","08","01","17.358012051925925"
"2015.0","09","01","25.117147923749997"
"2015.0","10","01","46.17460959831035"
"2015.0","11","01","37.299309582482756"
"2015.0","12","01","39.332369566766666"
"2016.0","01","01","33.89524924762963"
"2016.0","02","01","29.839121862111114"
"2016.0","03","01","25.2197132488"
"2016.0","04","01","21.644310219000005"
"2016.0","05","01","24.24673717813793"
"2016.0","06","01","22.32176362386206"
"2016.0","07","01","35.993917180966655"
"2016.0","08","01","30.449865646533333"
"2016.0","09","01","65.95444812765517"
"2016.0","10","01","45.57777218980001"
"2016.0","11","01","36.61343653742857"
"2016.0","12","01","41.8238838591"
"2017.0","01","01","36.65352580156668"
"2017.0","02","01","37.84397862074074"
"2017.0","03","01","58.93244925416667"
"2017.0","04","01","33.163402925620694"
"2017.0","05","01","20.435100271866663"
"2017.0","06","01","24.479674942374995"
"2017.0","07","01","37.06738580756666"
"2017.0","08","01","53.456635628966666"
"2017.0","09","01","57.851345478464275"
"2017.0","10","01","38.66266730719231"
"2017.0","11","01","31.577895045172408"
"2017.0","12","01","31.3074800907"
"2018.0","01","01","25.599492157999997"
"2018.0","02","01","33.866748378000004"
"2018.0","03","01","38.671141988"
"2018.0","04","01","30.329414273074075"
"2018.0","05","01","30.560935302379303"
"2018.0","06","01","17.77143727381481"
"2018.0","07","01","21.658687479279997"
"2018.0","08","01","34.907019045999995"
"2018.0","09","01","34.77172881931035"
"2018.0","10","01","36.68517275399999"
"2018.0","11","01","36.14139287727273"
"2018.0","12","01","17.023428685714286"
"2018.0","01","01","NaN"
"2019.0","02","01","19.9526854404375"
"2019.0","03","01","17.6985597715"
"2019.0","04","01","16.990089922285716"
"2019.0","05","01","13.857540188192306"
"2019.0","06","01","14.197069038076926"
"2019.0","07","01","NaN"
"2019.0","08","01","NaN"
"2019.0","09","01","24.78582114225"
"2019.0","10","01","32.619029246966676"
"2019.0","11","01","22.595858297241378"
"2019.0","12","01","14.190314450766671"
"2020.0","01","01","12.130700037321427"
"2020.0","02","01","21.26396097084616"
"2020.0","03","01","17.903563550300003"
"2020.0","04","01","17.830651958296297"
"2020.0","05","01","10.73453018724138"
"2020.0","06","01","11.295739654272728"
"2020.0","07","01","16.139772487714286"
"2020.0","08","01","20.284578276866668"
"2020.0","09","01","37.494157296896546"
"2020.0","10","01","30.6570457662"
"2020.0","11","01","25.42910858489655"
"2020.0","12","01","23.264102222275856"
"2021.0","01","01","20.045381412142856"
"2021.0","02","01","30.410796135148146"
"2021.0","03","01","34.27274016746667"
"2021.0","04","01","23.002543279551716"
"2021.0","05","01","24.652525109192307"
"2021.0","06","01","17.34388183726087"
"2021.0","07","01","40.612659971722216"
"2021.0","08","01","21.876262143071433"
"2021.0","09","01","21.366961851428574"
"2021.0","10","01","29.394974702961537"
"2021.0","11","01","17.81753791368965"
"2021.0","12","01","18.683146920233334"
"2022.0","01","01","15.638117516285716"
"2022.0","02","01","12.287032048259261"
"2022.0","03","01","17.467010087538462"
"2022.0","04","01","20.76843479168966"
"2022.0","05","01","18.802628165619048"
"2022.0","06","01","16.367165155619045"
"2022.0","07","01","20.08325236258621"
"2022.0","08","01","18.82206262706897"
"2022.0","09","01","21.409233088482754"
